X	Y	Z	distance	slope
269017.253	2142440.075	996.39716	550	-3.947209613
269013.753	2142430.717	993.71692	560	15.00399897
269009.513	2142421.661	994.21564	570	-2.855089609
269004.045	2142413.299	992.07953	580	12.05779088
268998.469	2142404.997	992.13916	590	-0.341650684
268996.824	2142395.251	991.97205	600	0.957380659
268995.697	2142385.315	992.84515	610	-4.989840936
268993.119	2142375.819	988.67303	620	22.64648301
268988.539	2142366.929	989.43958	630	-4.383435717
268985.888	2142357.462	988.67163	640	4.391410183
268984.832	2142347.518	985.81873	650	15.9229183
268983.776	2142337.574	985.2262	660	3.390982046
268984.837	2142327.738	985.10187	670	0.712321725
268986.895	2142317.952	984.86823	680	1.338415092
268988.953	2142308.166	985.95795	690	-6.219096116
268991.011	2142298.38	984.72095	700	7.051666055
268993.069	2142288.594	982.97534	710	9.901838258
268995.127	2142278.808	982.35229	720	3.565205036
268994.819	2142268.95	980.61188	730	9.872922925
268993.721	2142259.06	980.58881	740	0.132181129
268995.352	2142249.194	982.06415	750	-8.39253358
268996.982	2142239.328	981.7373	760	1.872046102
268998.618	2142229.463	980.40344	770	7.597608217
269000.482	2142219.638	979.40784	780	5.685631514
269002.404	2142209.825	979.5437	790	-0.778372572
269004.377	2142200.021	978.61591	800	5.300670593
269006.351	2142190.218	979.08667	810	-2.695266254
269005.862	2142180.911	976.83795	820	12.67340283
269000.247	2142172.636	976.06757	830	4.405251172
268994.632	2142164.361	975.94177	840	0.720742887
268991.71	2142154.89	975.56818	850	2.139518026
268989.335	2142145.176	976.24182	860	-3.853850455
268986.961	2142135.462	974.99225	870	7.122590521
268984.064	2142125.913	975.57257	880	-3.321263665
268980.44	2142116.593	975.63538	890	-0.359870059
268979.736	2142106.62	974.83234	900	4.591227992
268979.048	2142096.644	972.88654	910	11.01102447
268978.36	2142086.667	971.90198	920	5.622991018
268977.671	2142076.691	972.58148	930	-3.887272791
268980.037	2142067.177	971.60638	940	5.56930464
268983.647	2142057.851	971.05548	950	3.153237143
268985.268	2142048.568	970.94128	960	0.65428936
268981.26	2142039.407	970.4082	970	3.051435137
268977.252	2142030.245	968.8786	980	8.696556732
268978.126	2142020.845	970.13196	990	-7.143970771
268981.222	2142011.336	969.28363	1000	4.848963026
268984.318	2142001.828	968.61749	1010	3.811070598
268985.192	2141992.327	968.28314	1020	1.914971019
268982.03	2141982.84	968.66565	1030	-2.190552918
268978.867	2141973.353	968.66803	1040	-0.013636395
268975.705	2141963.866	967.38879	1050	7.289911982
268972.543	2141954.379	967.17126	1060	1.246158559
268970.366	2141944.79	966.56	1070	3.497909635
268971.512	2141934.856	967.33142	1080	-4.41117473
268972.658	2141924.922	966.6283	1090	4.02196167
268973.805	2141914.988	966.67706	1100	-0.279372007
268974.951	2141905.054	966.85175	1110	-1.000798177
268976.097	2141895.12	966.98138	1120	-0.742683592
268978.33	2141885.454	967.00256	1130	-0.12135228
268981.929	2141876.124	966.2417	1140	4.351023462
268985.528	2141866.794	965.49664	1150	4.261006499
268989.127	2141857.464	964.96429	1160	3.047264381
268992.727	2141848.134	965.32245	1170	-2.051228843
268996.326	2141838.804	964.75549	1180	3.244967577
268999.925	2141829.474	964.75372	1190	0.010141353
269003.524	2141820.145	964.81866	1200	-0.372073562
269007.123	2141810.815	963.5509	1210	7.225186159
269010.722	2141801.485	962.64594	1220	5.170953672
269014.322	2141792.155	962.04114	1230	3.461032896
269017.921	2141782.825	961.12909	1240	5.211243831
269021.52	2141773.495	960.76404	1250	2.090654082
269026.085	2141764.697	960.11804	1260	3.696171494
269032.044	2141756.667	960.22076	1270	-0.588521549
269038.003	2141748.636	958.96527	1280	7.155985707
269043.961	2141740.605	958.90668	1290	0.335692131
269049.92	2141732.574	958.35742	1300	3.143868982
269052.266	2141722.928	958.34912	1310	0.047555486
269054.28	2141713.133	957.60779	1320	4.239752567
269056.294	2141703.338	956.64709	1330	5.487564497
269058.308	2141693.542	956.24078	1340	2.326705012
269060.322	2141683.747	954.90546	1350	7.605827013
269062.336	2141673.952	954.05115	1360	4.882979369
269064.35	2141664.157	954.24701	1370	-1.122051675
269066.364	2141654.362	954.1524	1380	0.542059197
269066.533	2141644.39	952.85138	1390	7.412659098
269066.418	2141634.391	953.12604	1400	-1.573290339
269066.303	2141624.391	953.06415	1410	0.354599052
269066.188	2141614.392	952.23108	1420	4.762143304
269066.073	2141604.393	951.46191	1430	4.398359221
269065.958	2141594.393	950.43823	1440	5.844894479
269068.645	2141585.318	949.99377	1450	2.544893331
269074.684	2141577.347	949.49213	1460	2.871778225
269080.723	2141569.376	948.60364	1470	5.077340303
269087.859	2141562.673	948.16693	1480	2.500575132
269096.612	2141557.836	947.39636	1490	4.406333367
269105.364	2141552.999	946.57214	1500	4.711782347
269113.739	2141547.671	945.99377	1510	3.310128362
269120.651	2141540.445	945.64368	1520	2.005049063
269127.563	2141533.219	945.69641	1530	-0.302117845
269136.094	2141528.113	946.01733	1540	-1.83810531
269144.887	2141523.351	946.35016	1550	-1.906271741
269153.681	2141518.59	945.21423	1560	6.480620802
269162.475	2141513.829	942.2522	1570	16.49944719
269164.425	2141504.741	941.31036	1580	5.380473768
269171.058	2141499.482	941.11823	1590	1.100688389
269180.594	2141496.471	939.2912	1600	10.35391288
269190.13	2141493.459	939.0163	1610	1.574664401
269199.301	2141489.831	938.43488	1620	3.327545007
269206.54	2141482.932	936.6474	1630	10.13447552
269213.78	2141476.034	936.04254	1640	3.461375418
269221.019	2141469.135	935.06256	1650	5.597000324
269227.936	2141461.98	934.4082	1660	3.743869129
269233.02	2141453.369	933.82043	1670	3.36380391
269238.357	2141444.959	933.30005	1680	2.978870832
269245.601	2141438.065	933.18994	1690	0.630858334
269252.845	2141431.171	932.39185	1700	4.563047194
269262.691	2141430.04	933.02618	1710	-3.629580225
269271.881	2141426.876	932.30206	1720	4.141673129
269280.335	2141421.535	931.37726	1730	5.283684896
269288.755	2141416.14	931.30957	1740	0.387829208
269297.175	2141410.746	931.11218	1750	1.130814541
269305.596	2141405.352	931.67242	1760	-3.206586729
269314.016	2141399.957	929.39648	1770	12.82176832
269322.436	2141394.563	929.13898	1780	1.475040365
269330.289	2141388.474	929.47394	1790	-1.918462152
269337.246	2141381.292	929.08392	1800	2.233517942
269344.204	2141374.109	928.86365	1810	1.261850083
269351.029	2141366.804	929.19678	1820	-1.907988711
269357.652	2141359.312	929.74518	1830	-3.138956342
269364.275	2141351.819	927.73962	1840	11.3405604
269370.899	2141344.327	927.01147	1850	4.164642218
269376.463	2141336.042	926.25647	1860	4.317639911
269378.671	2141326.854	925.65979	1870	3.414676022
269377.899	2141316.972	926.00848	1880	-1.997037434
269383.211	2141308.5	924.9884	1890	5.824481162
269388.524	2141300.028	925.13428	1900	-0.835771548
269393.836	2141291.556	925.03534	1910	0.566865946
269397.499	2141282.342	924.94189	1920	0.535413474
269400.313	2141272.746	924.93829	1930	0.02062648
269403.127	2141263.15	924.93683	1940	0.008365184
269405.941	2141253.554	924.91345	1950	0.133957288
269408.755	2141243.958	925.12396	1960	-1.205955338
269410.876	2141234.206	926.35657	1970	-7.026890965
269412.439	2141224.329	921.86798	1980	24.17335664
269414.003	2141214.452	920.55524	1990	7.478682114
269415.566	2141204.575	919.8941	2000	3.782548326
269417.129	2141194.698	919.43091	2010	2.651987726
269419.606	2141185.09	918.15991	2020	7.243455611
269423.647	2141175.943	917.89813	2030	1.499546438
269427.688	2141166.796	920.0528	2040	-12.15945264
269431.729	2141157.649	918.86682	2050	6.763571957
269435.77	2141148.501	918.83411	2060	0.187413826
269439.474	2141139.249	915.93036	2070	16.19197616
269441.386	2141129.433	916.36023	2080	-2.461458259
269443.297	2141119.617	915.71838	2090	3.672491931
269445.208	2141109.802	915.24451	2100	2.713045579
269447.119	2141099.986	914.04736	2110	6.826675377
269449.031	2141090.17	913.95935	2120	0.504247137
269450.942	2141080.355	912.55829	2130	7.975566911
269456.332	2141072.282	911.37872	2140	6.727352064
269459.555	2141063.743	911.1806	2150	1.134995498
269458.45	2141053.804	912.11871	2160	-5.359289615
269465.338	2141046.755	910.72827	2170	7.91588154
269472.543	2141039.821	910.8783	2180	-0.859544092
269478.966	2141032.413	909.95422	2190	5.279594556
269481.772	2141022.815	909.49847	2200	2.609449472
269484.291	2141013.142	910.0498	2210	-3.155693401
269488.199	2141004.195	910.21283	2220	-0.93401035
269494.334	2140996.298	909.78473	2230	2.451335534
269500.469	2140988.401	907.6015	2240	12.31573714
269506.603	2140980.503	906.15833	2250	8.212056328
269512.738	2140972.606	905.91187	2260	1.411825969
269518.873	2140964.709	906.03973	2270	-0.732543919
269522.396	2140955.711	906.32581	2280	-1.638670719
269523.767	2140945.805	904.83606	2290	8.473321124
269525.137	2140935.9	905.29095	2300	-2.604532229
269526.507	2140925.994	904.68756	2310	3.452983566
269527.878	2140916.088	904.51532	2320	0.986764934
269530.15	2140906.351	904.82629	2330	-1.781152865
269530.145	2140896.577	905.53491	2340	-4.053318114
269528.207	2140886.766	905.67981	2350	-0.830157748
269527.42	2140876.876	902.88794	2360	15.59904236
269527.98	2140866.891	902.74548	2370	0.816180464
269528.54	2140856.907	901.5979	2380	6.546511425
269524.565	2140848.125	899.05927	2390	14.24436735
269519.132	2140839.729	900.30115	2400	-7.079203364
269514.002	2140831.173	899.67114	2410	3.604926973
269510.063	2140821.981	901.04352	2420	-7.81434304
269506.124	2140812.79	898.57123	2430	13.88671892
269502.939	2140803.52	896.12567	2440	13.74229943
269504.931	2140793.723	895.698	2450	2.448876318
269508.715	2140784.467	895.39209	2460	1.752188756
269512.197	2140775.172	895.11194	2470	1.604721534
269510.855	2140765.262	894.09784	2480	5.790569098
269509.514	2140755.353	893.27118	2490	4.725667908
269508.173	2140745.443	893.09686	2500	0.998678879
269510.113	2140735.907	892.30292	2510	4.539419162
269513.648	2140726.553	891.68903	2520	3.512922091
269518.176	2140717.663	890.94116	2530	4.277017399
269523.085	2140708.95	890.7168	2540	1.28527248
269527.993	2140700.237	890.84802	2550	-0.751792071
269534.693	2140693.064	890.33978	2560	2.909497268
269537.72	2140683.804	884.95386	2570	28.30655021
269540.004	2140674.068	882.9032	2580	11.58875519
269545.963	2140666.378	882.53815	2590	2.090654082
269553.034	2140659.307	882.573	2600	-0.199674983
269562.976	2140658.745	882.06903	2610	2.885094476
269571.244	2140653.471	881.81915	2620	1.431409064
269579.259	2140647.491	881.7901	2630	0.166443771
269584.834	2140639.272	881.59052	2640	1.143357376
269590.105	2140630.774	881.07831	2650	2.93218463
269595.919	2140622.661	880.99298	2660	0.488893021
269602.188	2140614.87	880.34009	2670	3.735482479
269607.999	2140606.77	880.68451	2680	-1.972601484
269612.881	2140598.042	881.32019	2690	-3.637284091
269617.762	2140589.315	880.21912	2700	6.283355774
269622.644	2140580.587	880.09222	2710	0.727044417
269627.525	2140571.86	880.66486	2720	-3.277406259
269631.414	2140562.761	879.7702	2730	5.112413003
269633.453	2140552.971	880.09351	2740	-1.851784808
269638.023	2140544.466	880.50049	2750	-2.330537492
269644.723	2140537.042	879.5451	2760	5.457417147
269649.25	2140528.46	878.04456	2770	8.533791476
269651.675	2140518.759	877.56464	2780	2.747630867
269654.101	2140509.058	876.93066	2790	3.627582905
269656.526	2140499.356	876.52429	2800	2.32704822
269658.464	2140489.564	876.13562	2810	2.225794719
269659.691	2140479.64	875.45087	2820	3.917213761
269660.917	2140469.715	875.57111	2830	-0.688891255
269661.902	2140459.789	874.93579	2840	3.63522974
269660.772	2140449.853	875.09222	2850	-0.896204782
269659.642	2140439.918	873.94275	2860	6.557199342
269658.663	2140429.974	872.20715	2870	9.846171719
269658.847	2140419.976	870.42352	2880	10.1130982
269659.031	2140409.978	869.73395	2890	3.944700537
269659.215	2140399.979	868.22845	2900	8.561582366
269659.399	2140389.981	867.96802	2910	1.491816778
269659.583	2140379.983	867.41797	2920	3.148381714
269659.296	2140370.083	867.37329	2930	0.255995839
269655.138	2140360.988	867.64343	2940	-1.54741185
269650.884	2140351.942	866.24963	2950	7.934766923
269646.027	2140343.201	866.9986	2960	-4.283284829
269641.153	2140334.469	865.98163	2970	5.80684513
269636.002	2140325.898	866.23877	2980	-1.472979082
269630.851	2140317.327	863.58771	2990	14.84790175
269625.7	2140308.755	865.54395	3000	-11.06864784
269621.864	2140299.692	864.55609	3010	5.641716499
269620.123	2140289.845	861.33984	3020	17.82908897
