dphi_dx,flowgofluxconductionheat,viscosity,flowgofluxforcedconvectionheat,crust_temperature,effective_cover_fraction,current_time,slope,channel_depth,tho_b,effective_radiation_temperature,mean_velocity,dtemp_dx,crystal_fraction,core_temperature,characteristic_surface_temperature,tho_0,dphi_dtemp,channel_width,effusion_rate,position,flowgofluxradiationheat,heat_budget
0.0001041955803437581,25404.96876253209,397.7967534171514,26574.712183426174,773.15,0.9921769072874966,91.14104763774645,0.2464204150128763,0.7,1791.0119038805378,781.7161209272527,1.0388695287968945,-0.005209779017187905,0.11377924273632035,1386.6610378631842,775.8949999406785,13.268390716507348,0.02,6.307323176436743,4.586740099392199,100.0,126866.8104310477,178846.49137700596
0.00013829729141747073,33989.83288907558,400.1050709763292,35483.137598559864,773.15,0.9941474976864887,100.76689546830214,0.18516632630816368,0.7,1351.7719197382353,779.5836282982112,0.7764147247882691,-0.0069148645708735365,0.11482119853975793,1386.6089400730123,774.8803239462184,13.617544562630973,0.02,8.43941471880438,4.586740099392199,110.0,167907.3987694533,237380.36925708878
9.371184500413442e-05,22761.717171639753,403.195294118671,23837.316805821105,773.15,0.9912741270613367,113.64660998263858,0.27933285511798783,0.7,2024.3494505438914,782.6824322419665,1.1592812556396566,-0.004685592250206721,0.11620417145393264,1386.5397914273035,776.358303671918,14.090108373529096,0.02,5.652196845586972,4.586740099392199,120.0,114252.65113395342,160851.6851114143
0.00011806123892323674,28890.19023820317,405.30656632792164,30198.23411399412,773.15,0.9931192841371174,122.27264439089984,0.22080328807484642,0.7,1608.03997979057,780.6943839414408,0.9132932723800523,-0.005903061946161837,0.11714128990397397,1386.4929355048014,775.4086351632541,14.416295770237703,0.02,7.174569280685404,4.586740099392199,130.0,143557.7750296002,202646.19938179746
9.223146724768106e-05,22386.059769334846,407.98651563940274,23451.502776437726,773.15,0.99112987548182,133.2220297662458,0.28764309407007826,0.7,2082.9292995913265,782.8333243927142,1.1785315162027477,-0.004611573362384053,0.11832190229320634,1386.4339048853399,776.4314046780823,14.834164236545035,0.02,5.55987325429091,4.586740099392199,140.0,112473.12834323077,158310.69088900334
0.00010743165761163879,26210.70324405039,410.09586968909684,27422.521271492213,773.15,0.992419844903479,141.7071656005595,0.2465171739407958,0.7,1791.7008579572782,781.4459116262088,1.0064855138440194,-0.00537158288058194,0.11924421696568314,1386.387789151716,775.7675571986656,15.166023337839974,0.02,6.510263452525006,4.586740099392199,150.0,130767.83129957027,184401.05581511286
0.00013448470709845198,33018.05426806311,412.5704160738152,34490.20644555559,773.15,0.9939784593321431,151.64272837066585,0.19684137195872967,0.7,1435.9330205235071,779.7603382797371,0.7989078376170355,-0.006724235354922599,0.12031853354179953,1386.3340733229104,774.965405782211,15.558606443782997,0.02,8.201804448206666,4.586740099392199,160.0,163327.99864662127,230836.25936023996
0.0002123691545317742,52617.49295767304,415.69499087021376,54838.05487863275,773.15,0.9962175818758398,164.15981673698826,0.12523814916841466,0.7,917.1212479494147,777.3208886561355,0.5012684599042433,-0.010618457726588709,0.12166338061278405,1386.266830969361,773.8129281231638,16.059269902371756,0.02,13.071809579893145,4.586740099392199,170.0,257065.46197430178,364521.0098106076
0.00012632110725504123,30956.341296907554,420.6908260221745,32359.372933586445,773.15,0.9935805212718656,184.10920673433677,0.21427000736584537,0.7,1561.20195457947,780.186768730563,0.8518746283161122,-0.006316055362752062,0.1237870721581018,1386.1606463920953,775.1688113138872,16.8709853365448,0.02,7.6918429525560255,4.586740099392199,180.0,153508.13515820008,216823.84938869407
9.571146826258781e-05,23252.1769300861,423.69879172625895,24363.389315220746,773.15,0.9914635276366904,195.84802330147278,0.2879717716683244,0.7,2085.2432559863696,782.463937521079,1.1340101501308193,-0.0047855734131293905,0.1250502832306522,1386.0974858384677,776.2564695396102,17.36619953572535,0.02,5.778154503748204,4.586740099392199,190.0,116668.3719681141,164283.93821342092
