flowgofluxradiationheat,mean_velocity,flowgofluxconductionheat,effective_radiation_temperature,tho_0,position,effusion_rate,slope,channel_width,core_temperature,dphi_dx,current_time,characteristic_surface_temperature,tho_b,heat_budget,viscosity,crust_temperature,flowgofluxforcedconvectionheat,crystal_fraction,channel_depth,dtemp_dx,effective_cover_fraction,dphi_dtemp
221275.85117816756,2.535282159278836,20813.231088077984,793.3081523920889,15.476116642957784,740.0,36.8140860041508,0.1605467566681709,10.371932615472844,1384.4559385355633,2.078196567820708e-05,307.4483399514804,781.5828753474982,2347.4170162591645,286304.1480537956,427.81358500558446,773.15,44215.06578755008,0.12009252714757052,1.4,-0.003479123718449846,0.9810157807799929,0.005973333333333333
385421.11674871104,1.3916346742583672,37915.4179471682,784.453172785765,15.552555933315205,750.0,36.8140860041508,0.08872802810090455,18.895602562694247,1384.4211472983789,3.652355917396498e-05,311.39267410119277,777.2271255422095,1301.208318466257,503169.2696981,428.5207094383865,773.15,79832.73500222078,0.12030034680435259,1.4,-0.006114435129570031,0.989534391463849,0.005973333333333333
646390.9671084872,0.8102872257923092,65111.642755829496,779.8039038350465,15.687488333603987,760.0,36.8140860041508,0.052443278417634936,32.452413021244695,1384.360002947083,6.155233486072584e-05,318.5784680347402,774.9953096611841,769.744748920252,847979.8814941752,429.7667340598877,773.15,136477.27162985856,0.12066558239609224,1.4,-0.010304520344987585,0.9938929528577257,0.005973333333333333
338177.77961371467,1.5992470861964019,32984.42001588194,786.0804517001917,15.916602302015695,770.0,36.8140860041508,0.10259442684531113,16.442597234797283,1384.2569577436332,3.199234946402019e-05,330.9197708242811,778.0188115358412,1503.8953819080016,440744.7543396109,431.8761279853263,773.15,69582.55471001429,0.1212811057446995,1.4,-0.005355862075449808,0.9879824861387052,0.005973333333333333
353689.7669371976,1.524529503477695,34597.96241722296,785.4913725271902,16.036539242323336,780.0,36.8140860041508,0.0981202213708666,17.24845315047411,1384.2033991228786,3.347985399969124e-05,337.1727132784604,777.7326289363374,1438.5250249868377,461237.4606314923,432.97723289331356,773.15,72949.73127707178,0.1216010292393397,1.4,-0.005604886272269739,0.988540720440634,0.005973333333333333
449462.36249376,1.183256279499482,44572.57255966689,782.789288546986,16.16267936294849,790.0,36.8140860041508,0.07668763843202007,22.223229382204252,1384.147350260156,4.266456620876924e-05,343.7321140491168,776.4258360806972,1125.0079544439457,587771.2661846847,434.1330139757771,773.15,93736.33113125782,0.1219358277793366,1.4,-0.007142505503700208,0.9910944737374067,0.005973333333333333
469349.6034614671,1.130681222640008,46639.680546727,782.3678507538449,16.32435524607409,800.0,36.8140860041508,0.07360858732024109,23.256577707952932,1384.075925205119,4.4571564908251413e-05,352.1833685856488,776.2235582275213,1079.9215833259686,614043.162041364,435.6110434848461,773.15,98053.87803316987,0.1223624734414243,1.4,-0.007461757518122447,0.9914884798077321,0.005973333333333333
452488.6947356175,1.17491230920795,44878.387675971055,782.7176622826753,16.494375109940695,810.0,36.8140860041508,0.07671219522594026,22.381053897526602,1384.0013076299376,4.2954282811016416e-05,361.0275943495216,776.3923452454322,1125.3674958841625,591762.5664431775,437.1613594204335,773.15,94395.484031589,0.12280818909050681,1.4,-0.0071910071670228375,0.9911569943604074,0.005973333333333333
457729.75756000244,1.1607765642409196,45419.56178758258,782.602591847979,16.65930955346828,820.0,36.8140860041508,0.07607952005129284,22.653606669295982,1383.9293975582675,4.345665134379701e-05,369.53886784766155,776.3374401803641,1116.1041431308056,598683.4803265842,438.6614660970809,773.15,95534.16097899918,0.12323773191861698,1.4,-0.007275109041930303,0.9912629212335683,0.005973333333333333
449740.23547896923,1.1824223405429708,44582.78675967415,782.7722653380265,16.82725871592406,830.0,36.8140860041508,0.07775013742474432,22.238902983831903,1383.8566464678481,4.269018878086698e-05,378.15379022640496,776.4196202899259,1140.563613460525,588124.2572726781,440.18518197503806,773.15,93801.23503403466,0.12367229843205495,1.4,-0.007146794996796929,0.9911007221900253,0.005973333333333333
