position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
5480.0,1347.7548281825866,0.98,1032.8596705209495,1876718.5659446795,4628.96020234458,1341.2664947513392,0,0,95936.04467808365,1977283.5708251079,10.236380729167994,0.2377692706981307,1413.0054252361808,9.64645878046561,0.4866,598.4475644708493,1488.8600000000001,7.199473736487494,1273.15,0.5,2.2995654523533397e-05,-0.0015969204530231526,0.0144,0.689819211647994,0.1827013615782488,165.0065848903665,2.238999999999998,108.40950252315685,5935.49593424108
5490.0,1347.7456268829874,0.98,1090.2660577265458,1981178.7185860057,4886.188515358284,1341.2583919127014,0,0,101277.92979576484,2087342.836897129,10.806443679451611,0.23799922724336603,1412.9894560316507,9.137587507427098,0.4866,599.619692566984,1488.8600000000001,6.819686143043085,1273.15,0.5,2.4275635249135498e-05,-0.0016858080034121874,0.0144,0.6898008888420735,0.17357664285809038,165.0065848903665,2.238999999999998,108.70854411484045,5642.120050259533
5500.0,1347.735913556028,0.98,1144.464223598941,2079833.5075641398,5129.030674697264,1341.2498380704396,0,0,106323.363664031,2191285.901902868,11.344888473682607,0.23824198359585738,1412.9725979516165,8.703904405418848,0.4866,600.8604181573934,1488.8600000000001,6.496013987910929,1273.15,0.5,2.548448503085483e-05,-0.0017697559049204743,0.0144,0.6897815468130818,0.16585062341781798,165.0065848903665,2.238999999999998,109.02481141287946,5393.3465821629525
5510.0,1347.7257166842414,0.98,1055.7838896890273,1918838.0407914624,4731.547627686341,1341.2408582909136,0,0,98095.22758034694,2021664.8159994956,10.46702167068176,0.23849682844616593,1412.9549003925674,9.433898951566794,0.4866,602.1666483416445,1488.8600000000001,7.040833250852678,1273.15,0.5,2.3511804961646112e-05,-0.0016327642334476467,0.0144,0.6897612423396706,0.17987877348423423,165.0065848903665,2.238999999999998,109.3574698661782,5844.796375730384
5520.0,1347.71630925727,0.98,1083.6751950585972,1969683.7468029836,4856.493366200951,1341.2325736255189,0,0,100696.58764386563,2075236.8278130502,10.744678639504002,0.2387319464957824,1412.9385727502329,9.190114295463921,0.4866,603.375158919781,1488.8600000000001,6.858888635847901,1273.15,0.5,2.4134843302717787e-05,-0.0016760307849109574,0.0144,0.6897425102374202,0.1756729933813643,165.0065848903665,2.238999999999998,109.66496195526713,5709.56388775714
5530.0,1347.7066526775936,0.98,1224.6234354991072,2226050.012660233,5488.0946044025,1341.224069440537,0,0,113805.1965178671,2345343.303782502,12.143511658476427,0.23897329492880956,1412.9218124423837,8.13148844767202,0.4866,604.6190918042614,1488.8600000000001,6.068800878112546,1273.15,0.5,2.7276160662357134e-05,-0.0018941778237748011,0.0144,0.6897232824135494,0.1561766884965526,165.0065848903665,2.238999999999998,109.98118549527663,5081.399177737335
5540.0,1347.6957393908415,0.98,1261.2244998206722,2292790.033264571,5652.052208942282,1341.2144583956583,0,0,117219.95367381525,2415662.0391473286,12.507995866119991,0.23924605653543313,1412.902870664146,7.8945360889140135,0.4866,606.029090189408,1488.8600000000001,5.891955434359487,1273.15,0.5,2.809396209905574e-05,-0.0019509695902122043,0.0144,0.689701552759254,0.1521000797181706,165.0065848903665,2.238999999999998,110.33927957448998,4949.8000279907765
5550.0,1347.6844990805866,0.98,1150.274532733524,2091289.2825855678,5154.776594449782,1341.2045592106138,0,0,106920.69148778882,2203364.7506678062,11.409117279192566,0.23952699615642367,1412.8833609682438,8.654904875520733,0.4866,607.4859951962748,1488.8600000000001,6.459444005430301,1273.15,0.5,2.562496110486814e-05,-0.0017795111878380653,0.0144,0.6896791724926047,0.16679503865629766,165.0065848903665,2.238999999999998,110.70890053061802,5423.773789500695
5560.0,1347.6742467710396,0.98,1247.9002787831303,2268974.581307477,5592.20741454977,1341.1955300209127,0,0,116007.6826455395,2390574.471367566,12.3788636312201,0.23978324576747234,1412.8655658563655,7.976889293459239,0.4866,608.8189770191058,1488.8600000000001,5.953418376018407,1273.15,0.5,2.7802195632165807e-05,-0.0019307080300115145,0.0144,0.6896587598758108,0.1543680713607529,165.0065848903665,2.238999999999998,111.04673794303784,5023.02454966646
5570.0,1347.6631235436387,0.98,1435.854066915717,2610960.7825495577,6434.403744942812,1341.1857336826033,0,0,133495.84482231457,2750891.0311168153,14.24511090491335,0.240061267723794,1412.8462587760653,6.931839662337273,0.4866,610.2696744020888,1488.8600000000001,5.1734630013243805,1273.15,0.5,3.199264926732358e-05,-0.002221711754675249,0.0144,0.6896366137451921,0.13501434207981738,165.0065848903665,2.238999999999998,111.41403603608624,4397.376827396958
